Species,Latitude,Longitude,δ15N,δ13C
Taraxacum officinale,33.10118,-115.37207,4.55,-29.06
Taraxacum officinale,33.10118,-115.37207,3.73,-25.67
Taraxacum officinale,33.10118,-115.37207,7.3,-30.22
Taraxacum officinale,33.10391,-115.38082,9.43,-30.29
Taraxacum officinale,33.10391,-115.38082,8.88,-30.29
Taraxacum officinale,33.10391,-115.38082,11.73,-30.78
Taraxacum officinale,33.1203,-115.38906,10.94,-31.12
Taraxacum officinale,33.1203,-115.38906,7.19,-30.42
Taraxacum officinale,33.1203,-115.38906,9.69,-28.83
Taraxacum officinale,33.1272,-115.3894,1.64,-26.63
Taraxacum officinale,33.1272,-115.3894,3.64,-27.85
Taraxacum officinale,33.1272,-115.3894,0.15,-27.61
Taraxacum officinale,33.135746,-115.397993,6.14,-28.12
Taraxacum officinale,33.135746,-115.397993,6.19,-27.74
Taraxacum officinale,33.135746,-115.397993,7.63,-28.44
Helianthus niveus tephrodes,33.01212,-115.09483,3.48,-27.81
Helianthus niveus tephrodes,33.01212,-115.09483,3.03,-28.25
Helianthus niveus tephrodes,33.01212,-115.09483,4.51,-27.18
Helianthus niveus tephrodes,33.017091,-115.102555,3.27,-29.54
Helianthus niveus tephrodes,33.017091,-115.102555,4.2,-29.45
Helianthus niveus tephrodes,33.017091,-115.102555,2.9,-27.72
Helianthus niveus tephrodes,33.02191,-115.10925,1.4,-26.71
Helianthus niveus tephrodes,33.02191,-115.10925,4.68,-28.17
Helianthus niveus tephrodes,33.02191,-115.10925,3.75,-26.69
Helianthus niveus tephrodes,33.02478,-115.11406,3.84,-26.6
Helianthus niveus tephrodes,33.02478,-115.11406,3.18,-28.13
Helianthus niveus tephrodes,33.02478,-115.11406,2.3,-25.98
Helianthus niveus tephrodes,33.03054,-115.1223,2.72,-28.39
Helianthus niveus tephrodes,33.03054,-115.1223,4.33,-27.86
Helianthus niveus tephrodes,33.03054,-115.1223,3.81,-26.88