Habitat Type,Latitude,Longitude,δ15N,δ13C
Agricultural Field,33.10118,-115.37207,6.94,-8.61
Agricultural Field,33.10118,-115.37207,6.06,-7.28
Agricultural Field,33.10118,-115.37207,6.25,-7.12
Agricultural Field,33.10391,-115.38082,6.37,-8.33
Agricultural Field,33.10391,-115.38082,6.85,-7.73
Agricultural Field,33.10391,-115.38082,6.9,-9.06
Agricultural Field,33.1203,-115.38906,6.19,-8.26
Agricultural Field,33.1203,-115.38906,5.87,-9.5
Agricultural Field,33.1203,-115.38906,6.47,-9.18
Agricultural Field,33.1272,-115.3894,4.76,-8.4
Agricultural Field,33.1272,-115.3894,4.22,-8.12
Agricultural Field,33.1272,-115.3894,4.32,-8.01
Agricultural Field,33.135746,-115.397993,8.57,-5.6
Agricultural Field,33.135746,-115.397993,9.13,-6.34
Agricultural Field,33.135746,-115.397993,8.6,-7.47
Creosote Bush Scrub,33.01212,-115.09483,5.41,-13.5
Creosote Bush Scrub,33.01212,-115.09483,0.94,-6.92
Creosote Bush Scrub,33.01212,-115.09483,2.53,-10.92
Creosote Bush Scrub,33.017091,-115.102555,-0.39,-5.15
Creosote Bush Scrub,33.017091,-115.102555,0.72,-5.84
Creosote Bush Scrub,33.017091,-115.102555,-3.01,-6.73
Creosote Bush Scrub,33.02191,-115.10925,2.19,-8.44
Creosote Bush Scrub,33.02191,-115.10925,1.25,-6.17
Creosote Bush Scrub,33.02191,-115.10925,1.04,-5.14
Creosote Bush Scrub,33.02478,-115.11406,2,-9.09
Creosote Bush Scrub,33.02478,-115.11406,2.27,-17.92
Creosote Bush Scrub,33.02478,-115.11406,2.63,-7.45
Creosote Bush Scrub,33.03054,-115.1223,0,-5.79
Creosote Bush Scrub,33.03054,-115.1223,2.63,-8.33
Creosote Bush Scrub,33.03054,-115.1223,0.45,-6.88